SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
40,60.4,0,1.81,1.76,2.15,2.08
47.9,57.7,-0.25,2.13,2.08,1.82,1.79
40,63.9,-0.25,2.14,2.07,1.88,1.8
40,65.5,0.25,2.02,1.96,1.97,1.9
55.2,43.7,-1,2.3,2.22,1.73,1.68
76.7,56.2,-1,1.89,1.79,2.16,2.06
85.7,74.2,-1,2.22,2.15,1.79,1.72
59.5,50.3,0.25,2.08,2.02,1.93,1.84
62,71.2,-0.25,2.08,2,1.91,1.86
43.7,85.7,1,2.15,2.06,1.83,1.79
40,76.7,0.5,1.85,1.8,2.12,2.07
56.2,62.7,0,1.85,1.8,2.1,2.03
40,40,-0.5,1.88,1.84,2.07,2.01
71.2,47.9,-1,2.21,2.14,1.83,1.72
63.9,59.5,-0.5,2.02,1.96,1.95,1.89
74.2,65.5,-1,2.22,2.1,1.81,1.76
60.4,55.2,0,1.86,1.81,2.12,2.03
57.7,62,0,1.96,1.9,1.98,1.92
74.2,57.7,-1,2.02,1.94,1.96,1.91
47.9,60.4,-0.25,2,1.95,1.97,1.9
40,43.7,0,1.88,1.82,2.1,2.01
85.7,63.9,-2,2.02,1.97,1.95,1.87
59.5,40,-0.25,1.92,1.83,2.09,2.03
62.7,71.2,0,2.09,2,1.86,1.82
55.2,40,-0.5,1.83,1.77,2.16,2.1
65.5,50.3,-0.25,1.98,1.92,2.02,1.93
40,56.2,-0.25,1.92,1.86,2.05,1.98
62,76.7,-0.25,2.08,2.03,1.87,1.82
40,74.2,0.5,1.96,1.91,1.99,1.93
71.2,40,-1,1.73,1.67,2.33,2.22
57.7,55.2,-0.25,1.9,1.84,2.08,2.01
40,40,-0.25,2.06,1.98,1.94,1.86
56.2,47.9,0,1.9,1.83,2.05,2
50.3,85.7,1,1.72,1.64,2.38,2.26
43.7,65.5,0,1.91,1.86,2.03,1.96
60.4,62,0.25,1.83,1.77,2.15,2.09
63.9,62.7,0,1.93,1.86,2.05,1.96
76.7,59.5,-1,1.94,1.83,2.09,2.01
55.2,71.2,0,1.96,1.89,1.98,1.93
65.5,40,-0.5,1.92,1.88,2.02,1.97
47.9,63.9,-0.5,2.03,1.99,1.94,1.87
85.7,57.7,-1.5,1.92,1.87,2.08,1.98
62.7,60.4,-0.5,2.08,2.03,1.87,1.83
62,40,-1,1.83,1.78,2.21,2.08
40,76.7,0.25,2.05,1.99,1.92,1.86
40,50.3,0.5,1.89,1.84,2.06,2.01
74.2,43.7,-1,1.7,1.65,2.36,2.25
59.5,56.2,-0.25,1.97,1.9,2.01,1.95
76.7,47.9,-1,1.85,1.77,2.22,2.08
40,62.7,0,2.12,2.05,1.88,1.8
40,43.7,-0.5,1.98,1.91,2,1.94
60.4,40,-0.5,1.85,1.8,2.12,2.06
57.7,65.5,-0.25,1.94,1.87,2.04,1.98
59.5,40,-0.25,1.91,1.85,2.06,2
56.2,85.7,1,2.14,2.08,1.83,1.78
50.3,55.2,-0.5,2.11,2.06,1.85,1.8
71.2,74.2,0,1.92,1.87,2.02,1.96
63.9,62,0,2.36,2.27,1.69,1.64
40,63.9,0,1.75,1.7,2.3,2.16
47.9,40,-0.5,2.03,1.96,1.93,1.88
40,57.7,0,1.66,1.62,2.47,2.3
43.7,71.2,0.25,2.14,2.06,1.83,1.79
85.7,60.4,-1.5,1.81,1.74,2.19,2.1
62.7,59.5,-0.5,1.9,1.84,2.06,2
55.2,56.2,-0.5,1.96,1.92,1.98,1.92
65.5,76.7,0,1.82,1.78,2.13,2.06
74.2,50.3,-0.75,1.9,1.84,2.07,2
62,40,-1,1.94,1.86,2.06,1.97
50.3,40,-0.75,1.93,1.89,2.02,1.96
60.4,74.2,0.5,1.95,1.89,2.03,1.95
40,85.7,1,2.26,2.19,1.77,1.68
40,62.7,0,1.96,1.89,2,1.94
56.2,40,-0.5,2.06,1.99,1.89,1.85
50.3,47.9,-0.5,1.83,1.8,2.11,2.05
63.9,40,-0.25,1.97,1.89,2.02,1.96
59.5,62,0.5,1.81,1.76,2.17,2.09
76.7,55.2,-1,2.05,1.99,1.95,1.84
71.2,65.5,-0.5,1.77,1.72,2.23,2.13
57.7,43.7,-0.5,1.82,1.77,2.15,2.08
65.5,63.9,-0.5,2.05,1.96,1.93,1.88
47.9,59.5,-0.25,1.94,1.9,2,1.94
40,76.7,0.5,2.08,2.01,1.88,1.82
40,50.3,0,1.96,1.89,2,1.93
43.7,60.4,0,1.75,1.69,2.27,2.17
71.2,57.7,-1,2.2,2.11,1.8,1.74
55.2,40,-0.5,1.93,1.86,2.04,1.97
74.2,56.2,-1.5,2.35,2.24,1.7,1.65
85.7,40,-2,1.95,1.89,2.04,1.94
62.7,62,0,2.19,2.09,1.81,1.76
63.9,74.2,0.25,2.12,2.04,1.84,1.81
40,65.5,0,1.83,1.78,2.15,2.06
56.2,40,-0.25,1.97,1.91,2.01,1.93
50.3,71.2,0,2,1.94,1.94,1.88
60.4,57.7,-0.25,2.01,1.94,1.96,1.9
40,55.2,0,1.84,1.79,2.13,2.05
76.7,43.7,-1.5,2.12,2.03,1.86,1.8
59.5,40,0,1.73,1.63,2.4,2.25
62.7,47.9,-0.5,2.05,1.99,1.91,1.85
62,85.7,0.5,1.77,1.72,2.23,2.14
85.7,62.7,-1.5,1.78,1.69,2.3,2.16
40,40,-0.5,2.24,2.15,1.75,1.7
40,60.4,0,1.77,1.69,2.25,2.15
74.2,40,-1.5,2.14,2.05,1.84,1.77
43.7,63.9,0,1.88,1.81,2.08,2
57.7,50.3,0,1.69,1.62,2.35,2.26
55.2,59.5,-0.5,1.87,1.82,2.07,2
65.5,56.2,-0.5,2.05,1.97,1.92,1.85
47.9,62,0.25,1.94,1.88,2.01,1.94
71.2,76.7,-0.25,1.87,1.81,2.08,2.01
62,40,-1,2.14,2.05,1.86,1.77
40,43.7,-0.25,1.91,1.84,2.08,1.98
47.9,55.2,0,1.67,1.58,2.46,2.34
40,65.5,0,2.04,1.96,1.9,1.84
60.4,50.3,-0.25,1.95,1.89,1.99,1.93
59.5,40,0,1.81,1.75,2.16,2.07
62.7,74.2,0.25,1.94,1.88,2,1.94
56.2,71.2,0.25,1.93,1.86,2.08,1.96
76.7,85.7,0.5,1.77,1.71,2.23,2.14
63.9,57.7,-0.5,2.25,2.17,1.75,1.69
74.2,59.5,-1.5,2.11,2.04,1.95,1.79
40,40,-0.5,1.96,1.91,1.98,1.91
50.3,63.9,-0.5,2.06,1.95,1.91,1.88
57.7,40,-0.5,2.01,1.94,1.95,1.89
85.7,47.9,-1.5,1.84,1.78,2.14,2.04
55.2,62.7,-0.5,2.28,2.19,1.73,1.68
65.5,62,0,1.89,1.82,2.06,1.99
40,76.7,0.25,1.93,1.86,2.06,1.97
43.7,56.2,0,1.92,1.85,2.04,1.96
63.9,71.2,0,2.4,2.23,1.8,1.65
40,50.3,0,1.95,1.89,2.02,1.93
47.9,40,-0.5,2.05,1.98,1.91,1.85
85.7,55.2,-1.5,1.92,1.85,2.04,1.97
62.7,65.5,0,1.73,1.68,2.29,2.18
56.2,60.4,-0.25,2.08,1.99,1.88,1.84
76.7,57.7,-1,2,1.93,1.99,1.89
59.5,43.7,-0.5,2.19,2.11,1.83,1.74
62,74.2,0,1.83,1.74,2.2,2.09
74.2,47.9,-1,1.87,1.69,2.28,2.17
65.5,59.5,-0.5,1.77,1.67,2.28,2.2
40,62.7,0,1.7,1.66,2.33,2.2
50.3,76.7,0,2.06,1.95,1.92,1.87
40,40,-0.5,1.98,1.92,1.98,1.92
43.7,40,-0.25,1.86,1.81,2.12,2.03
55.2,62,0,2.08,2.01,1.9,1.81
71.2,85.7,0.25,1.89,1.84,2.09,1.99
60.4,63.9,-0.25,1.82,1.76,2.17,2.07
57.7,56.2,-0.25,1.92,1.85,2.05,1.99
40,40,0,1.98,1.89,2.04,1.93
55.2,74.2,0.25,1.87,1.8,2.1,2.03
40,63.9,-0.25,2.05,1.98,1.89,1.84
47.9,65.5,0,1.93,1.86,2.05,1.94
40,71.2,0.5,1.92,1.85,2.03,1.97
85.7,40,-2,2.23,2.12,1.79,1.72
59.5,57.7,0,1.77,1.71,2.22,2.13
62.7,43.7,-0.5,1.91,1.84,2.05,1.98
56.2,50.3,0,1.91,1.82,2.06,1.99
60.4,76.7,0,2.14,2.05,1.83,1.77
62,40,-1,2.22,2.11,1.81,1.72
71.2,40,-1,2.21,2.11,1.8,1.73
63.9,56.2,0,1.72,1.65,2.3,2.22
40,55.2,0,1.76,1.71,2.25,2.13
40,47.9,-0.5,1.95,1.9,1.98,1.92
43.7,62,0.5,1.82,1.75,2.17,2.09
60.4,59.5,-0.5,1.88,1.81,2.07,2.01
57.7,40,-0.5,2.11,2.04,1.83,1.79
65.5,85.7,0.5,1.97,1.9,2,1.93
50.3,62.7,-0.5,1.92,1.86,2.03,1.96
74.2,76.7,-0.5,2.08,2.02,1.89,1.8
85.7,40,-1.5,1.88,1.8,2.16,2.02
40,56.2,0,2.08,1.99,1.88,1.82
47.9,43.7,-0.5,1.95,1.89,2,1.92
40,60.4,0,2.13,2.02,1.86,1.8
76.7,63.9,-1,2.01,1.93,2,1.89
62.7,57.7,-0.25,1.92,1.85,2.03,1.96
55.2,65.5,0,1.85,1.79,2.11,2.03
40,74.2,0.5,2.12,2.04,1.85,1.79
59.5,71.2,0.5,2.01,1.93,1.95,1.89
62,50.3,-0.5,2.02,1.95,1.93,1.87
71.2,62,-0.5,1.9,1.85,2.05,1.97
56.2,76.7,0.25,2.1,2.01,1.89,1.84
50.3,59.5,-1,2.33,2.24,1.73,1.66
40,62.7,-0.5,2.04,1.96,1.96,1.87
43.7,55.2,0,1.99,1.92,1.97,1.9
60.4,40,-0.5,1.87,1.82,2.08,2.01
63.9,40,-0.5,1.95,1.9,2.02,1.93
65.5,40,-1,2.27,2.14,1.77,1.72
74.2,85.7,0,2.28,2.17,1.75,1.69
57.7,47.9,-0.5,2.26,2.19,1.75,1.68
71.2,60.4,-0.5,1.72,1.67,2.3,2.21
47.9,71.2,0.25,2.05,1.96,1.93,1.86
65.5,74.2,0,1.92,1.85,2.04,1.96
40,50.3,0,2.29,2.17,1.77,1.68
40,40,0,1.95,1.89,2,1.93
59.5,63.9,-0.25,2.04,1.95,1.93,1.87
62.7,56.2,-0.5,2.24,2.14,1.76,1.71
62,57.7,-0.75,1.9,1.83,2.09,2
55.2,60.4,0,1.74,1.68,2.25,2.17
76.7,40,-1.5,2.18,2.09,1.81,1.74
57.7,74.2,0.5,2.01,1.92,1.99,1.91
40,59.5,-0.5,2.24,2.15,1.76,1.71
56.2,40,-0.5,1.96,1.9,2,1.93
40,55.2,-0.5,2.17,2.09,1.81,1.75
43.7,40,-0.5,2.22,2.14,1.78,1.71
71.2,62.7,-1,2.28,2.18,1.77,1.69
63.9,85.7,1,1.83,1.78,2.16,2.06
50.3,65.5,-0.5,2.21,2.14,1.78,1.72
76.7,62,-0.5,1.94,1.89,1.99,1.94
60.4,47.9,-0.5,1.98,1.93,1.97,1.91
74.2,40,-1.5,2.16,2.07,1.88,1.76
65.5,43.7,-1,2.15,2.07,1.87,1.78
47.9,56.2,-0.25,1.99,1.9,2,1.94
40,40,-0.5,2.17,2.08,1.83,1.77
85.7,50.3,-1.5,2.2,2.13,1.8,1.73
62.7,63.9,-0.5,2.08,2.01,1.86,1.82
55.2,57.7,-0.5,2.16,2.08,1.84,1.77
40,71.2,0.75,1.99,1.93,1.98,1.91
59.5,76.7,0.5,2.21,2.13,1.77,1.73
62,60.4,-0.5,1.77,1.73,2.2,2.13
85.7,43.7,-2.25,2.23,2.11,1.84,1.73
43.7,74.2,0.5,2.26,2.14,1.88,1.72
40,62,0.5,1.73,1.68,2.3,2.21
56.2,59.5,-0.5,2.14,2.04,1.88,1.8
40,65.5,0,1.9,1.81,2.17,2.02
76.7,40,-1.5,1.78,1.74,2.22,2.11
60.4,62.7,-0.5,2.11,2.05,1.85,1.8
63.9,47.9,-0.5,2.21,2.12,1.8,1.74
50.3,40,-1,1.98,1.91,1.98,1.93
71.2,55.2,-1,1.82,1.76,2.23,2.09
57.7,85.7,1.5,1.87,1.81,2.12,2.04
85.7,56.2,-2.25,1.96,1.89,2,1.94
65.5,57.7,-1,2.13,2.05,1.87,1.8
47.9,76.7,0.75,1.98,1.93,1.97,1.92
40,59.5,-0.5,2.18,2.12,1.78,1.74
43.7,40,0,1.89,1.84,2.07,2
62.7,40,-0.5,2.09,2.02,1.88,1.83
55.2,50.3,0,1.82,1.76,2.17,2.11
40,60.4,0.5,2.01,1.95,1.93,1.89
74.2,71.2,-0.25,1.97,1.92,1.99,1.93
62,63.9,-1,2.19,2.11,1.82,1.76
40,47.9,-0.25,2.03,1.98,1.91,1.86
40,62,0.5,1.99,1.94,1.95,1.9
56.2,55.2,0,1.85,1.81,2.08,2.03
50.3,74.2,0.25,1.92,1.86,2.05,1.99
76.7,65.5,-0.5,1.8,1.77,2.14,2.08
71.2,43.7,-1.5,1.75,1.7,2.28,2.2
60.4,85.7,1,2.2,2.11,1.83,1.74
57.7,40,0,1.95,1.89,2,1.94
63.9,40,-0.75,1.82,1.78,2.15,2.09
59.5,62.7,-0.5,2.14,2.09,1.81,1.77
65.5,60.4,-0.5,2.05,1.97,1.92,1.85
47.9,40,-0.5,1.82,1.78,2.15,2.07
40,57.7,0.25,2.06,1.97,1.95,1.87
40,71.2,1,2.15,2.01,1.88,1.82
74.2,40,-1.75,1.87,1.81,2.1,2.03
43.7,50.3,0.25,1.96,1.9,1.99,1.93
85.7,59.5,-2.5,2.1,2,1.87,1.82
62.7,76.7,0.25,1.88,1.83,2.06,2
62,56.2,-1.5,1.84,1.77,2.16,2.06
55.2,63.9,-0.5,1.95,1.88,2.03,1.95
78.5,50.2,-1.5,1.88,1.84,2.14,2.03
50.2,88.1,0.5,2.01,1.96,1.96,1.92
60,54.7,-1,2.05,1.92,2,1.94
52.8,80.5,0.5,1.82,1.79,2.15,2.09
40,40,0,1.71,1.68,2.38,2.21
62,57.1,-0.5,2.31,2.21,1.74,1.7
60.3,40,-1,2.25,2.19,1.77,1.71
52,67.2,-0.5,1.87,1.84,2.09,2.04
48.3,90,1,2.24,2.16,1.78,1.73
82.5,49.2,-1,2.22,2.09,1.86,1.78
77.6,78.5,-0.25,2.13,2.09,1.83,1.8
48.3,60,0.25,1.92,1.89,2.03,1.98
67.2,40,0,1.87,1.78,2.17,2.08
90,40,-2,1.9,1.82,2.12,2.06
62,52.8,-0.5,2.17,2.11,1.81,1.77
40,60.3,0,2.16,2.06,1.83,1.78
57.1,52,-0.5,2.02,1.98,1.95,1.89
80.5,82.5,-0.5,2.15,2.09,1.83,1.8
88.1,77.6,0,1.86,1.81,2.12,2.05
54.7,49.2,0,1.94,1.87,2.1,1.98
50.2,62,-0.25,1.83,1.81,2.12,2.07
60,78.5,0.5,1.69,1.66,2.39,2.29
52.8,54.7,-0.25,1.86,1.82,2.12,2.06
40,48.3,-0.25,2.08,2.04,1.88,1.83
77.6,67.2,-2,2.17,2.1,1.83,1.77
52,90,1,1.82,1.76,2.21,2.12
40,80.5,0.5,2.36,2.29,1.69,1.66
82.5,40,-1.5,2.38,2.28,1.69,1.65
60.3,57.1,-0.5,1.83,1.78,2.16,2.09
49.2,88.1,0.5,1.75,1.72,2.27,2.18
78.5,52.8,-1.5,1.89,1.85,2.1,2.01
88.1,60.3,-1,2.15,2.06,1.91,1.81
62,40,-0.75,2.11,2.05,1.88,1.82
40,50.2,-0.25,2.12,2.06,1.85,1.81
54.7,40,-0.5,2.1,2.04,1.87,1.83
57.1,60,0.25,1.94,1.88,2.07,1.99
80.5,52,-1.5,2.06,2.02,1.91,1.84
48.3,82.5,0.5,2.04,1.98,1.92,1.88
67.2,49.2,0.25,2,1.94,1.97,1.92
90,77.6,-0.5,2.2,2.13,1.79,1.75
50.2,90,1,2,1.94,1.98,1.92
52.8,48.3,-0.25,1.82,1.79,2.16,2.09
40,57.1,-0.25,2.08,2.02,1.89,1.85
77.6,54.7,-1.5,1.98,1.92,2,1.94
60.3,67.2,-1,1.79,1.72,2.25,2.18
49.2,80.5,0,2.3,2.22,1.73,1.68
82.5,78.5,0,1.88,1.84,2.09,2.01
52,40,-0.5,2,1.96,1.97,1.91
40,88.1,1,1.76,1.7,2.26,2.2
60,62,-1,2.19,2.12,1.86,1.76
48.3,62,0,1.7,1.66,2.33,2.25
52.8,52,0,1.72,1.66,2.33,2.24
40,50.2,0,1.72,1.67,2.35,2.23
88.1,67.2,-2,2.09,2.02,1.9,1.85
90,60,-1,2.17,2.11,1.84,1.77
40,77.6,1,1.79,1.73,2.22,2.15
40,78.5,1,1.89,1.84,2.08,2.03
60.3,49.2,-0.5,2.06,2.02,1.88,1.85
82.5,57.1,-1.5,2.3,2.22,1.72,1.67
54.7,80.5,1,1.64,1.59,2.5,2.4
80.5,40,-1.5,1.92,1.88,2.05,1.98
78.5,48.3,-1.5,1.76,1.72,2.3,2.17
60,40,-1,1.79,1.74,2.22,2.15
77.6,60.3,-1,2.03,1.97,1.95,1.89
62,88.1,0.75,1.89,1.84,2.07,2.03
52,54.7,-0.25,1.97,1.91,2.01,1.95
49.2,40,-1,2.05,1.96,1.96,1.9
57.1,90,1,1.76,1.7,2.27,2.21
50.2,82.5,0.5,1.92,1.87,2.03,1.99
67.2,52.8,0,1.97,1.92,1.98,1.92
50.2,60,0.25,2,1.95,1.97,1.93
67.2,80.5,1.5,1.84,1.8,2.13,2.05
88.1,54.7,-1.5,2.25,2.16,1.77,1.72
77.6,52,-1.5,2.06,1.99,1.92,1.86
40,48.3,-0.25,1.92,1.86,2.08,2.01
60.3,52.8,-1,2.06,2,1.91,1.86
78.5,90,-0.25,2.08,2.03,1.89,1.85
40,62,0,2.09,2.02,1.88,1.83
49.2,57.1,-0.75,1.97,1.92,2.02,1.96
82.5,40,-1.5,2.29,2.21,1.75,1.69
80.5,88.1,-0.25,2.01,1.97,1.95,1.9
52.8,77.6,1,1.95,1.89,2.02,1.97
40,40,-0.5,2.19,2.11,1.84,1.78
90,40,-2,2.14,2.05,1.87,1.82
62,78.5,1,1.87,1.83,2.1,2.04
52,60.3,0.25,1.9,1.85,2.08,2.03
54.7,67.2,-1,1.93,1.88,2.06,1.99
57.1,50.2,-0.25,1.9,1.87,2.07,2
48.3,49.2,0.25,2.01,1.95,1.96,1.92
60,82.5,-0.25,2.19,2.12,1.81,1.78
50.2,48.3,-0.5,2.03,2,1.92,1.89
78.5,54.7,-1.5,1.96,1.9,2.11,1.96
67.2,60,1,1.91,1.81,2.13,2.08
88.1,52.8,-1.5,1.71,1.66,2.33,2.25
40,57.1,0,1.85,1.79,2.16,2.08
60.3,40,-1,2.05,2.01,1.9,1.86
77.6,80.5,-0.25,2,1.96,1.96,1.92
40,90,1.5,1.82,1.76,2.2,2.11
49.2,52,-0.5,2,1.95,1.96,1.92
82.5,62,-1,1.94,1.89,2.02,1.98
80.5,60.3,-1,2.08,2.01,1.9,1.85
60,88.1,0,2.14,2.07,1.83,1.79
52.8,49.2,0.25,1.98,1.93,1.97,1.95
40,67.2,-0.5,1.87,1.83,2.09,2.05
62,40,-1,2.54,2.43,1.63,1.58
52,40,-0.5,2.13,2.09,1.84,1.8
57.1,78.5,1,1.88,1.82,2.12,2.05
48.3,77.6,1,1.84,1.75,2.22,2.13
90,82.5,-1,2.22,2.16,1.78,1.74
54.7,50.2,-0.5,2.19,2.1,1.84,1.79
50.2,40,-0.5,2.04,1.98,1.96,1.89
48.3,80.5,1,1.86,1.82,2.11,2.04
60,52,-1,2.12,2.06,1.85,1.81
62,54.7,-0.5,2.07,2.04,1.88,1.84
40,67.2,-0.5,1.98,1.94,1.97,1.93
57.1,52.8,-0.5,1.96,1.88,2.05,2
78.5,60.3,-1,2.04,1.98,1.92,1.89
40,88.1,1,1.92,1.84,2.12,2.03
90,49.2,-1.5,1.9,1.82,2.11,2.04
82.5,77.6,0,2.01,1.96,1.94,1.89
67.2,57.1,0,2.35,2.22,1.8,1.67
80.5,40,-1.5,1.72,1.66,2.32,2.25
52.8,82.5,1,1.85,1.76,2.15,2.09
88.1,40,-1.5,1.84,1.76,2.16,2.09
77.6,60,-1,2.29,2.2,1.74,1.68
60.3,50.2,-0.75,1.96,1.89,2.01,1.97
52,48.3,-0.25,1.81,1.76,2.16,2.1
40,78.5,1,2,1.91,2.02,1.94
49.2,62,-0.25,1.9,1.85,2.06,2.01
54.7,90,1,1.84,1.79,2.14,2.06
67.2,48.3,0,1.98,1.91,1.96,1.93
88.1,57.1,-1.5,1.88,1.81,2.1,2.03
77.6,62,-1,1.9,1.84,2.07,2.02
60.3,90,1,1.68,1.64,2.4,2.31
52,78.5,1,1.87,1.83,2.09,2.03
40,82.5,0.5,2,1.95,1.97,1.91
54.7,40,-0.5,1.83,1.75,2.2,2.13
80.5,60,-1,2.32,2.2,1.74,1.69
52.8,50.2,0,1.94,1.89,2.01,1.95
49.2,40,-1,2.54,2.37,1.63,1.6
48.3,54.7,0,1.88,1.82,2.09,2.03
78.5,67.2,-2,2.08,2,1.95,1.86
60,52.8,-1.5,2.15,2.06,1.82,1.78
40,52,-0.5,2.35,2.27,1.69,1.66
90,80.5,-0.5,1.83,1.78,2.18,2.09
62,60.3,0,1.71,1.67,2.3,2.21
57.1,40,-0.5,2.01,1.97,1.94,1.89
50.2,77.6,1,1.69,1.65,2.45,2.29
40,49.2,0,2.04,1.97,1.92,1.88
82.5,88.1,0,1.83,1.77,2.15,2.08
67.2,62,0.25,1.97,1.89,2.03,1.98
52.8,90,1.5,1.95,1.89,2.02,1.95
88.1,48.3,-2,2.05,1.93,2,1.92
77.6,57.1,-1.5,2.19,2.07,1.82,1.78
52,50.2,-0.25,1.93,1.9,2.01,1.95
40,40,-0.5,2.06,2.03,1.89,1.84
54.7,40,-0.5,1.92,1.89,2.03,1.97
60.3,82.5,0,1.87,1.78,2.15,2.07
49.2,60,0,2.2,2.13,1.79,1.73
80.5,78.5,-0.5,2.34,2.27,1.7,1.66
50.2,67.2,-0.5,1.92,1.88,2.03,1.98
48.3,60.3,0.25,1.95,1.9,2.02,1.95
78.5,49.2,-1.5,2.07,2,1.88,1.84
60,40,-1.5,2.11,2.04,1.88,1.8
40,77.6,1,1.9,1.85,2.1,2.01
90,88.1,-1,2.31,2.26,1.72,1.67
62,52,-0.5,1.8,1.74,2.22,2.15
40,52.8,-0.5,2.08,2.03,1.88,1.84
82.5,54.7,-1,1.89,1.85,2.06,2.01
57.1,80.5,1,1.86,1.83,2.09,2.03
50.2,49.2,0,2.08,2,1.88,1.84
48.3,40,-0.5,2.33,2.27,1.71,1.67
40,52.8,-0.25,1.78,1.75,2.23,2.14
90,67.2,-2.25,1.81,1.77,2.16,2.1
40,77.6,1,1.9,1.85,2.08,2.01
57.1,54.7,-0.25,2.08,2.01,1.89,1.85
78.5,88.1,-0.5,2.2,2.12,1.8,1.74
60,60.3,-0.75,2.14,2.08,1.83,1.79
62,80.5,0.5,1.96,1.92,2.01,1.94
82.5,52,-1,1.83,1.77,2.15,2.09
80.5,48.3,-1.5,1.85,1.78,2.15,2.09
67.2,40,0,1.7,1.67,2.35,2.24
52.8,57.1,0,1.75,1.7,2.33,2.19
88.1,40,-1.5,1.86,1.82,2.1,2.04
77.6,82.5,-0.75,2.06,2.02,1.9,1.86
60.3,78.5,0.5,1.86,1.83,2.09,2.05
52,60,0.5,1.88,1.83,2.1,2.06
40,50.2,-0.5,2.15,2.09,1.83,1.77
49.2,90,1,1.8,1.75,2.22,2.13
54.7,62,-0.25,2.2,2.12,1.8,1.76
48.3,57.1,-0.5,2.01,1.97,1.93,1.88
60,40,-1.5,2.18,2.1,1.85,1.77
52.8,40,-0.5,2.2,2.13,1.8,1.75
40,78.5,1,1.83,1.78,2.18,2.09
77.6,49.2,-1,1.99,1.92,2,1.93
60.3,54.7,-0.5,1.86,1.81,2.1,2.05
82.5,67.2,-1.5,2.2,2.11,1.84,1.76
62,90,1,1.85,1.78,2.18,2.09
52,88.1,1,1.9,1.83,2.1,2.03
50.2,80.5,1,1.9,1.86,2.08,2
80.5,52.8,-2,2.12,2.05,1.9,1.81
67.2,52,-0.25,1.97,1.92,2.01,1.94
88.1,50.2,-2,2,1.95,1.99,1.91
90,48.3,-2.5,2.14,2.07,1.86,1.8
40,40,0,1.72,1.67,2.34,2.24
40,60.3,0,2.28,2.17,1.76,1.71
57.1,62,0,2.18,2.11,1.81,1.75
78.5,77.6,-0.5,1.76,1.73,2.23,2.16
49.2,82.5,0,2.3,2.19,1.75,1.7
54.7,60,0.5,1.72,1.69,2.28,2.21
67.2,40,0,1.8,1.73,2.22,2.14
88.1,60,-0.5,1.85,1.79,2.17,2.09
77.6,48.3,-1.5,1.76,1.72,2.34,2.18
40,62,0,1.91,1.87,2.06,1.98
60.3,80.5,0.5,2.01,1.95,1.95,1.91
49.2,52.8,-1,2.4,2.28,1.71,1.67
50.2,54.7,0,1.86,1.82,2.12,2.04
78.5,57.1,-2,2.08,2,1.92,1.86
40,52,-0.5,2.16,2.1,1.82,1.77
82.5,90,0.5,1.9,1.85,2.08,2.02
48.3,40,-0.25,1.97,1.92,2,1.95
60,50.2,-1,1.91,1.79,2.15,2.07
52.8,60.3,0.25,2.04,1.99,1.91,1.88
40,82.5,0.5,1.87,1.82,2.11,2.05
62,40,-0.5,1.98,1.91,2.01,1.95
52,77.6,1,1.97,1.91,2.05,1.95
57.1,49.2,0,2.15,2.06,1.88,1.8
80.5,67.2,-2,2.3,2.2,1.75,1.69
54.7,88.1,1,1.86,1.81,2.12,2.06
90,78.5,-0.5,1.9,1.85,2.07,2.02
50.2,57.1,-0.5,2.15,2.09,1.83,1.78
78.5,62,-1.5,1.76,1.69,2.31,2.22
67.2,54.7,0,1.9,1.81,2.13,2.05
88.1,80.5,-0.25,1.9,1.85,2.08,2.01
40,90,1.5,1.97,1.88,2.03,1.98
60.3,52,-1,1.92,1.88,2.08,1.99
40,40,-0.5,2.16,2.1,1.81,1.77
49.2,48.3,-0.5,1.9,1.85,2.06,2.01
77.6,52.8,-2,1.96,1.92,2.05,1.94
82.5,60,-0.5,2.15,2.09,1.83,1.78
48.3,50.2,0,1.81,1.76,2.17,2.11
40,60.3,0,2.11,2.01,1.92,1.84
54.7,78.5,1,2.12,2,1.91,1.87
57.1,40,-0.5,2.07,2.02,1.9,1.85
80.5,77.6,-0.5,2.16,2.1,1.83,1.77
52.8,88.1,1.5,1.87,1.79,2.15,2.07
62,82.5,0.25,1.9,1.87,2.06,2.01
52,49.2,0,1.92,1.85,2.14,1.99
80.5,40,-1.5,2,1.93,2,1.92
48.3,40,0,1.91,1.86,2.04,1.99
78.5,60,-1,2.11,2.04,1.9,1.83
67.2,77.6,1,1.91,1.86,2.06,2
90,52,-2,1.93,1.89,2.05,1.98
54.7,52.8,-0.5,1.83,1.75,2.21,2.13
57.1,60.3,0,2.33,2.19,1.77,1.69
88.1,49.2,-1.5,1.92,1.84,2.1,2.01
62,50.2,-0.5,2.09,2.05,1.87,1.83
40,82.5,0.5,1.83,1.79,2.15,2.08
60,57.1,-1,1.94,1.86,2.09,2.01
52.8,78.5,1,2.18,2.12,1.83,1.76
40,62,0,1.7,1.66,2.38,2.25
60.3,88.1,0.5,1.85,1.81,2.12,2.07
52,80.5,1,1.77,1.69,2.31,2.22
50.2,40,-0.5,2.12,2.07,1.85,1.8
49.2,67.2,-0.5,1.86,1.82,2.11,2.05
82.5,48.3,-1.5,2.08,2.02,1.92,1.84
48.3,52.8,-0.25,2.02,1.97,1.94,1.89
78.5,82.5,-1,2.06,1.98,1.99,1.88
67.2,60.3,0.5,1.82,1.75,2.19,2.12
40,52,-0.5,2.25,2.18,1.74,1.71
